"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___RNAseq.g9841.t1",49,120,73
"Porites_compressa_HIv1___RNAseq.g9843.t1",135,473,372
"Porites_compressa_HIv1___TS.g4489.t1",41957,73962,126996
"Porites_compressa_HIv1___RNAseq.g9846.t1",36,70,40
"Porites_compressa_HIv1___RNAseq.g9858.t1",256,2554,421
"Porites_compressa_HIv1___RNAseq.g9859.t1",5,108,1
"Porites_compressa_HIv1___RNAseq.g9861.t1",432,1037,293
"Porites_compressa_HIv1___RNAseq.g9862.t1",248,659,961
"Porites_compressa_HIv1___RNAseq.g9871.t1",523,0,256
"Porites_compressa_HIv1___RNAseq.g9873.t1",13,27,33
"Porites_compressa_HIv1___RNAseq.g9875.t1",496,119,242
"Porites_compressa_HIv1___RNAseq.g9877.t1",138,58,0
"Porites_compressa_HIv1___RNAseq.g9879.t1",1465,2180,929
"Porites_compressa_HIv1___TS.g4526.t1",1067,1234,1790
"Porites_compressa_HIv1___RNAseq.g9884.t1",1538,1580,2055
